Num,Progress,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
0,0,"신사가,,,자기,,소개를,,할때는,,,어떤,,말을,,하는지,,,아는가????",,,,,,,,
1,,,모르겠습니다.,음…,1,1,"신사임당이라네!!!,,,하하!!!,,나는,,그럼,,,최차장임당이지!!!!","신사임당이라네!!!,,,하하!!!,,나는,,그럼,,,최차장임당이지!!!!",9,9
2,0,"우리,,,딸이라네,,,귀엽지,,않은가^^??@@",,,,,,,,
3,,,귀여운 것 같습니다.,제가 더 귀엽습니다.,3,-1,"역시,,,자네도,,,좀,,뭘,,아는구만,,,!!!","그렇구만,,,,,",9,8
4,0,"자네,,,지금,,조는건가,,,,????",,,,,,,,
5,,,일을 너무 열심히 해서 피곤한 것 같습니다.,조금만 자고 일 해도 괜찮을까요?,2,-2,"일을,,열심히,,했다면,,,,좀,,쉬어야지,,!!!","열심히,,하지도,,않아놓고,,,????",9,8
6,0,"처음,,만나는,,소가,,만나면,,,하는,,말이,,뭔지,,아는가??",,,,,,,,
7,,,소…?,알 것 같습니다!,-1,3,"반갑소라네,,!! 하하,,,재밌지,,않은가,,,???","그렇다네,,반갑소라네,,!!!@",8,9
8,1,"혹시,,,내가,,딸,,체육,,대회에,,,가야하는데,,,,,,",,,,,,,,
9,,,못하신 일 있으면 대신 해드릴까요?,근데요?,5,-3,"그래주겠나,,,,?? 정말,,,고맙네,,,,!!!@@","아,,,아닐세,,,,",9,8
10,1,"요즘,,,아이들은,,뭘,,좋아하나,,,???",,,,,,,,
11,,,음… 마음만 전달 된다면 괜찮지 않을까 싶습니다.,"역시, 돈이 제일 좋죠.",-2,4,"내,,선물은,,딱히,,,안,,,좋아하는,,것,,같네,,,,,","직접,,사게,,하는게,,,좋겠구만,,,,!!!",8,9
12,1,"아이고,,,걱정이네,,,,딸,,아이가,,다쳤다고,,하네,,,",,,,,,,,
13,,,빨리 가보세요!! 밀린 일은 제가 하겠습니다!,"일이 별로 안 남았는데, 빨리 하고 가세요!",7,-3,"정말,,그래주겠나,,,,???? 고맙네,,!!!!","역시,,,그래야,,하겠지,,,,,",9,8
14,1,"세상에서,,가장,,,폭발하기,,쉬운,,,나라는,,,어디인지,,,아는가????",,,,,,,,
15,,,북한이 아닐까요?,모르겠습니다.,3,-2,"하하,,재치있는,,답변일세,,,하지만,,,답은,,,부탄일세,,,,!!","그렇구만,,,,,답은,,,부탄이라네,,,!!!",9,8
16,1,"세상에서,,가장,,,뜨거운,,,과일이,,뭔지,,,아는가????",,,,,,,,
17,,,천도 복숭아 아닐까요?,모르겠습니다.,3,-2,"역시,,이건,,다들,,아는구만,,,!!!","이걸,,모르는구만,,,답은,,,천도복숭아라네,,,!!!",9,8
18,2,"병아리가,,먹는,,약? 그건,,,동물병원을,,가보게나,,,,!!",,,,,,,,
19,,,한번 맞춰보세요!,"답은, 삐약입니다.",3,1,"혹시,,,삐약인가,,,??? 하하,,,재밌구만,,,!!","오,,,그렇구만,,,",8,9
20,2,"딸,,,보고,,싶구만,,,요즘,,,바빠서,,,자는,,것,,밖에,,못본다네,,,",,,,,,,,
21,,,그럼 보러 가십쇼!,일을 빨리 하시면 딸 아이를 보러 가실 수 있습니다!,-1,4,"그러고,,싶지만,,,,일이,,,,,,","그렇지,,,열심히,,해야지,,,,!!!",8,9
22,2,"요즘,,,아이들은,,무슨,,음식을,,좋아하나,,,???",,,,,,,,
23,,,뭘 주던 잘 먹어야 잘 자라지 않을까요?,단게 최고 아닙니까!,-2,3,"그게,,됐으면,,묻지,,않았지,,,,","집,,갈때,,초콜릿을,,사야겠구만,,,,",8,9
24,3,"내,,딸은,,죽어도,,,컷헤드,,시키지,,않을걸세,,,!!",,,,,,,,
25,,,무슨 이유가 있을까요?,"에이, 요즘 대세인데, 잘라야죠!",3,-5,"이렇게,,이쁜,,얼굴을,,,어떻게,,자르나,,,!!!!!","이렇게,,이쁜,,얼굴을,,,자를수는,,,없다네!!!",9,8
26,3,"요즘,,뭘,,해도,,행복하다네,,,,!!",,,,,,,,
27,,,따님 덕분 아닐까요?,저 덕분 아닐까요?,5,2,"역시,,,그럴걸세!!! 딸이,,언제봐도,,너무,,,사랑스럽구만,,,,!!!!","하하,,,그런가,,,??",9,8
28,3,"내,,,개그가,,,재미있는가?",,,,,,,,
29,,,재미 없습니다.,재미 없습니다.,-10,-10,"그런가,,,,알겠네,,,,,,","그런가,,,,알겠네,,,,,,",8,8
30,4,"자네,,,뉴스,,봤는가?? 컷헤드,,,괜찮은,,것,,맞겠지,,???",,,,,,,,
31,,,글쎄요. 확신이 없으시면 안하시는게…,차장님도 하시지 않으셨습니까. 괜찮을겁니다.,-3,5,"그렇구만,,,,,","그렇겠지,,,,???",8,9
32,4,"딸,,아이가,,,컷헤드를,,하기,,싫다는,,투로,,,말하는데,,,,안,,시키는게,,,맞는것,,인가,,,??",,,,,,,,
33,,,따님 입장에서 생각해보시는게 어떨까요?,하고 싶은대로 하시지요.,6,-3,"현명한,,생각일세,,,!!!","별,,도움은,,,안되는구만,,,,",9,8
34,4,"커피,,,한잔만,,,갖다주게,,,!!",,,,,,,,
35,,,(스타커피에서 아메리카노 한잔을 사온다.),(탕비실에 있는 인스턴트 커피를 타준다.),-3,5,"에잉,,,,,이맛이,,아닐세,,,!!!!","오,,,내취향을,,,딱,,아는구만,,!!!!@@@",8,9
36,5,"내가 미쳤지,,,,,난,,,",,,,,,,,
37,,,괜찮으십니까?,뉴스나 읽어야지…,5,-3,"아마도,,그렇다네,,,","그,,그거,,,이제,,나한테는,,,가져오지,,,말게나,,,,,!!!!!!",9,8
38,5,"해도 문제고,,,안해도,,,",,,,,,,,
39,,,이럴 때 일수록 따님 생각을 존중 해야 합니다.,이럴 때 일수록 빨리 잘라버리시는게…!,12,-10,"내,,,고민을,,해결해주엇구만,,,@@","내가,,,,내딸의,,머리를,,,어떻게,,,,자르겠나,,,,,",9,8
40,6,"자네,,과외좀,,,해봤나??? ",,,,,,,,
41,,,네? 무슨일이세요?,"네, 해봤습니다. 꽤 공부에 도움이 됩니다.",-3,8,"안해봤나,,,알겠네,,,,","그렇구만,,, 고맙네,,!!!@",8,9
42,6,"헉,,,절대,,사직서,,쓰던게,,,,아닐세,,,!!",,,,,,,,
43,,,"에이, 그냥 때려 치세요.",무슨 일 있으십니까?,-4,4,"허허,,,어이가,,없구만,,,,","별일,,,,아닐세,,,,,!!!!",8,9
44,6,"뭐,,때문에,,,,저런,,,행동들을,,,,",,,,,,,,
45,,,저렇게 당할 정도면 그냥 자르고 말지… 어휴…,정말…무서워서 살지를 못하겠습니다. 조심하세요.,-5,7,"사람마다,,의견이,,다른건데,,,,!!!! 생각하고,,말하게나,,,!!","고맙네,,,!!",8,9
46,6,"오늘,,,빨리,,,가야겠구만,,,",,,,,,,,
47,,,일은 다 안하신거 아닌가요?,조심히 가십쇼!,-3,5,"자네가,,좀,,,하게!!!!","먼저,,,가겠네!!!!!!!",8,9
48,7,"자네,,조는건가,,?",,,,,,,,
49,,,아….아닙니다…!,죄송합니다…,-2,-4,"내가,,,두눈,,,똑똑히,,,봤는데,,,?","죄송할,,,짓을,,,하지,,,,말게나,,,,",8,8
50,7,"자네,,,이 일,,오늘까지,,,끝내게나,,,나,,,먼저,,,가지,,,,",,,,,,,,
51,,,해보겠습니다…,야근하겠습니다…,8,-3,"그래,,,열심히,,,하게나,,,","해보지도,,,않았는데,,,,늦게갈,,생각부터,,,하다니,,,,쯧쯧,,,~~~",9,8
52,7,"역시,,이쁘구만,,,",,,,,,,,
53,,,따님이신가요? 이쁘십니다!,가만히 앉아서 일한다.,15,5,"자네,,,일,,안하나,,,?? 그래도,,,이쁘긴,,,하지,,,!!!!!","열심히,,,하는구만,,,,!!",8,9
54,7,"그래,,,드디어,,,,정부가,,,일을,,,하는구만,,,!!@",,,,,,,,
55,,,"이제, 따님이 편하게 다니실 수 있겠습니다!",가만히 앉아서 일한다.,3,5,"그렇겠구만,,,어,,??? 자네,,,,일,,안하나???","열심히,,,하는구만,,,,!!",8,9
56,7,"흠흠흠,,,~~~@@",,,,,,,,
57,,,(스타커피의 커피를 전달한다.) 한잔 드시겠습니까?,(탕비실의 믹스 커피를 전달한다.) 한잔 드시겠습니까?,-3,12,"난,,이런거,,,안먹는다네,,,,","역시,,,커피는,,,,다방커피가,,,,제일이라네,,,!@@@!!",8,9
