Num,Progress,Char_Num,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
0,0,1,"안녕하세요, 제가 이 회사의 사장입니다.",,,,,,,,
1,,,,"안녕하십니까, 사장님!","안녕하십니까, 대리님!",3,-2,"하하, 속았다! 나는 최대리라고 해!","쩝… 안속네, 난 최대리라고 해.",17,18
2,0,2,흠… 그렇구만… 흥미롭군…,,,,,,,,
3,,,,뭐 보고 계시나요?,종이 신문을 보는건 처음 봅니다.,2,-1,"나는 지성인이기 때문에, 뉴스를 보면서 양식을 쌓고 있지. 절대 농땡이가 아니야.",그래서 뭐 마음에 안들어?,17,18
4,0,3,"헐, 지금 너 일처리를 어떻게 하고 있는거야?",,,,,,,,
5,,,,제가 무슨 잘못을 했나요?,제 잘못은 없어보입니다.,4,-2,"그래, 업무시간에는 다른 사람과 대화를 하면 안되지! 하하하!",그래…미안…,17,18
6,1,5,그거 알아? 나는 사실 예언을 할 수 있어.,,,,,,,,
7,,,,안 궁금합니다.,"오, 그럼 지금은 어떤 예언을 하셨어요?",-4,5,에휴.. 재미없는 녀석.,으음…! 4년 정도 후에 컷 헤드 관련 논란이 생길 것 같구만……,18,17
8,2,2,흠…...오늘은 재미가 있는 뉴스가 없구먼...@,,,,,,,,
9,,,,뉴스를 많이 읽으시나 봅니다.,그런 틀딱 말투는 어디서 배울 수 있는지 궁금합니다.,2,5,"그렇다네~~~자네도,,, 같이.읽는건.어떤가???^^",우리 최차장님 따라해봤는데 똑같았나보네!,17,17
10,2,7,에휴… 내가 그렇게 잘못했나…,,,,,,,,
11,,,,무슨일 있으세요?,적당히 좀 하시지…,3,-5,사장님 말투 따라하다가 과장님한테 혼났어… 옆에 차장님도 웃으셨는데…,미안…,17,18
12,3,2,흠흠~ 샤우트 아웃! 샤우트 아웃!,,,,,,,,
13,,,,회사에서는 일이나 열심히 하시지…,무슨 영상 보세요?,-5,4,미..미안… 아니! 내가 너한테 왜 미안해야 하는데! 이거 볼거야!!,내가 요즘 음악에 관심이 생겨서 말이야. R 이라는 노래인데 들어봐!,18,17
14,3,3,크흠…!!! 라떼는...말여…??? 상관이...오면...다방커피도 타주고 그랬는데… 으이...??@@,,,,,,,,
15,,,,커피 타드릴까요?,차…차장님?,3,5,"자네도,,한잔 하겠나,,,????","그래,,,최차장일세,,,하하하하!!",17,17
16,3,5,"안녕하심미까, 저는 김인턴입니다. 하하! 너랑 똑같지?",,,,,,,,
17,,,,증믈즈믓습느드…..,(무시한다),5,-3,"하하, 그렇지? 역시 난 성대모사를 잘 하는거 같아! 사장님한테도 보여드려야지!",…,17,18
18,4,4,괜히 취업했나…?,,,,,,,,
19,,,,네.,무슨 일 있으세요?,-5,3,그…그래…,"사실 난 잘생겼엇거든! 취직하려고 컷헤드 한거였어. 역시, 괜히 했나?(웃음)",18,17
20,4,1,"역시 참 편한거 같아, 컷헤드 말이야.",,,,,,,,
21,,,,그런가요? 왜요?,머리를 잘라도 말은 할 수 있는게 참 아쉽습니다.,3,-7,그냥? 가볍잖아!,나 들으라고 하는건 아니지?,17,18
22,4,3,"야, 너 그거 알아?",,,,,,,,
23,,,,"네, 압니다.",뭔가요?,-2,4,으..으응…,난 알아! 하하하!,18,17
24,4,5,퇴근 하고 싶다…,,,,,,,,
25,,,,저도 가고 싶습니다.,제발 가주세요.,-2,-4,어허~! 일을 열심히 해야지! 이거 완전 성실하지 않은 녀석이구만!,알았어… 라고 할줄 알았지? 안갈거야!,18,18
26,5,7,난 잘못 없어~!,,,,,,,,
27,,,,"하하, 그럴리가요.",무슨 일 있으세요?,-3,6,뭐?,"아냐, 별일 없어! 히히!",18,17
28,5,5,뚜루루~뚜루루~상어~,,,,,,,,
29,,,,뭐하세요?,잡았다!,-2,5,어..? 아니야 별일 없지! 하하하!,뚜루루~뚜루루~,18,17
30,5,7,운동! 닭가슴살! 운동! 닭가슴살!,,,,,,,,
31,,,,청소부씨 배고프세요?,혼자 뭐하세요…?,8,-3,"하하, 나야 최대리!",응? 아..아니 별거 아니야,17,18
32,5,3,심심하네… 뭐 볼거 없나…,,,,,,,,
33,,,,일 하시는건 어떻습니까?,뉴스 좋아하시잖아요.,-3,-4,그래야지…,아..그래..그렇지…,18,18
34,6,2,쿨…..,,,,,,,,
35,,,,자시는건가…?,"에휴, 이러니까 만년 대리지.",8,-4,워! 놀랐지!,…..쿨쿨,17,18
36,6,5,탁.타탁.탁.탁.타탁.탁.일.하기.싫다.탁.탁.타탁.타탁.탁.일.하.기싫.다,,,,,,,,
37,,,,띡.띠딕.띡.띡.띠딕.띡.사장.님.계시나.요,슉.슈슉.슈슉.슉.슈슉.일하세요.슉.슉.슈슉.일하세요,-3,7,미안해…일 할게…,알.알.알았.알.알았.알았.다.,18,17
38,6,5,슬금…슬금…,,,,,,,,
39,,,,어디가세요?,뭐지…,-3,5,아.아니. 잠깐 바람 좀 쐬려고!,어? 차..차장님? 으악!,17,18
40,6,2,"자네, 내가 부탁한 서류는 다 했어?",,,,,,,,
41,,,,네 했습니다!,네?,3,-1,"하하, 속았다~! 난 최대리지!",안속네…,17,18
42,6,5,퇴근 퇴근 퇴근 하고 싶어요~!,,,,,,,,
43,,,,야근 야근 야근 하셔야해요~!,가버리세요~!,-1,-5,…그렇지,…그래,18,18
44,7,3,후우…,,,,,,,,
45,,,,무슨일 있으세요? 또 갑자기 놀래키실거죠?,"안속아, 안속아!",-2,-3,아….별일 아니야…,.....,18,18
46,8,5,하하! 신난다!,,,,,,,,
47,,,,괜찮아지셨네요!,또 시끄러워지겠네.,10,-5,으응..!,미..미안해….,17,18
48,8,5,…..히히,,,,,,,,
49,,,,에휴…,혼자 뭘 보고 그렇게 웃으세요?,-3,5,히히…,"나혼자 개그 연습 하는데 웃겨서, 아몬드가 죽으면? 다이아몬드! 히히!",18,17
50,8,3,허억…허억…,,,,,,,,
51,,,,괜찮으세요?,무시하고 일이나 해야지…,5,-2,허억…배…고파…!!,허억…허억…...,17,18
52,8,2,"내 여자친구의 부모님이 사고를 당하셔서 돈을 빌려줬는데, 그 돈으로 놀러다니고 있어… 어떡하지…?",,,,,,,,
53,,,,헐…사기 당하신거 아니에요?,거짓말 하지 마세요! 여자친구가 있을리가 없잖아요.,12,-10,돈으로 놀러 다닌다는 건 사실 뻥이야. 돈도 안빌려줬어. 당연히 여자친구도 없지! 히..흑…,맞아… 그렇지…,17,18
54,9,5,안..안녕? 뭐해?,,,,,,,,
55,,,,"일하죠, 일하세요.",성대모사 연습하는데 같이 하실래요?,-3,8,으응…,"오, 진짜? 성대모사는 내가 또 잘하지, 내가 차장님 성대모사 보여줄까,,,@@^^???",18,17
56,9,1,출장 다녀왔다네. 일은 잘 되가는가?,,,,,,,,
57,,,,넵! 잘 하고 있습니다!,사장님 오셨습니까!,3,5,하하! 나야 나! 최대리!,하하! 나야 나! 최대리!,17,17
58,10,2,"자네, 내 자리로 따라오게나. 긴히 할 말이 있다네.",,,,,,,,
59,,,,"네, 금방 정리하고 가겠습니다.",안갈겁니다!,6,-3,또 속았네! 역시 난 성대모사를 잘하는거 같아!,응… 알았어…,17,18
60,10,3,으음...@ 배가 고프구만...@@!!! 김밥 한줄만 사다줄 수 있겠나…? @))))))))),,,,,,,,
61,,,,직접 사 드십쇼!,"넵, 바로 사오도록 하겠습니다!",-5,7,알았어… 미안…,그러게나! 최대리한테 주면 된다네!,18,17
62,10,3,라떼는...말여??!! 상사가.부르면.빨리.뛰어와서??? 네!!!! 그랬는데...말여…!!?,,,,,,,,
63,,,,네!!!!,느에….,5,-3,"부지런한,,,직원이구먼,,,,,~~~! 최대리를 닮았어,,,!!!","느릿,,,,하구먼,,,,,,",17,18
64,10,5,"어이, 이리 와봐,",,,,,,,,
65,,,,무슨일이십니까?,일 없습니다.,5,-2,아무일도 없지. 하하!,알았다네…,17,18
