Game_Progress,Char_Num,Text,,
0,1,출장이 잦은 시기이다. 심기 불편하니 건들지 않는게 좋다,,
0,2,여름엔 땀이 많이 난다. 불쾌 지수가 높으니 성질을 긁지 마라. 최근에 강아지를 입양했다는 말이 들려온다.,,
0,3,재미없는 농담을 자주친다. 굉장히 열정있는 꼰대이기 때문에 열심히 하는척만 하면 된다. 이번 년도에 딸이 초등학교 입학을 했다,,
0,4,더위를 많이 탄다. 여름엔 조심하는게 좋다. 앞 뒤가 다르기 때문에 괜찮다고 해도 짤릴 수 있다. ,,
0,5,자신만 생각하는 성격탓에 일을 많이 시킨다. 하지만 일을 해주지않으면 정말 많이 슬퍼한다,,
0,6,요즘 최고의 관심사는 신문! 신문을 보고 사회의 흐름을 읽는것을 좋아한다. 장난끼가 많기 때문에 속지않도록 조심해라,,
0,7,사장과 청소부를 헷갈리면 안된다. 친절한 성격이지만 사장과 헷갈리게 되면 크게 실망한다.,,
1,1,컷 헤드 주식 회사에 높은 직급으로 있는 친구들의 자랑을 많이 들었는지 열정이 갑자기 넘쳐나는 것 같다.,,
1,2,"겨울이 되서 그나마 불 같던 성격이 가라 앉았다. 이제는 춥다고 짜증을 내지만 여름보다는 덜하다. 강아지 이름은 ""댕댕이""로 정했다고 한다.",,
1,3,초등학교에 갈일이 많아져서 일을 많이 떠넘기는 편이다. 어느 정도 받아주는게 회사생활에서 편할수도 있다.,,
1,4,음식에 욕심이 많아졌다. 이번 겨울엔 붕어빵 먹고싶다는 말을 늘 입에 달고 사는것 같다. 이것 외에는 딱히 없다.,,
1,5,사장에게 혼났는지 열심히 일을 하기 시작했다. 가끔 시험해보는거 같은데 잘 회피해야한다.,,
1,6,사람을 속이는데 진심인편이다. 다른 사람과 헷갈리지 않아야하기 때문에 특징을 잘 외워놔야한다. 시술을 하기 전부터 음식을 싫어하는 편이다.,,
1,7,최근 헬스를 연장해서 기분이 좋다고 한다. 닭가슴살 주사만 많이 먹고 있기 때문에 자극적인 주사 얘기를 할때 조심해라,,
2,1,어릴적 라이벌이 운영하는 회사에 뒤쳐지기 싫다는 생각에 직원들에게 일을 무리하게 시키는거 같다. 파이팅!,,
2,2,컷헤드 주식에 관심이 많다. 주식을 꽤 많이 구매했다고한다. ,,
2,3,계속되는 야근으로 인해 농담을 치는 횟수가 줄었다. 농담을 해도 정색을 한다. 딸 얘기하면 좋아하는 편,,
2,4,몸매 관리를 한다고 먹지를 않으니 짜증이 2배다. 인지하고 있는지 대화를 잘 안하려고 한다.,,
2,5,가끔 정신을 놓고 다닌다. 약을 챙겨 먹는듯한데 이상하게 먹고 나면 일을 못할정도로 존다. 컷헤드 부작용일까?,,
2,6,어딘가 모르게 어색하게 주변 사람들을 따라한다. 말 실수를 했다 하면 최대리인걸 명심해라,,
2,7,아무일도 없어보인다. 그저 평소보다 운동을 자주하기만 한다. 말 실수만 안 하면 아무 문제 없다.,,
3,1,최근 명품 가방을 잃어버려서 새로 샀다. 가방에 관심이 더욱 높아졌다.,,
3,2,주식을 넣은 회사의 가치가 올라서 기분이 매우 좋아 보인다. 말 실수를 해도 심하게 평판이 깎일 것 같진 않다.,,
3,3,딸 얘기를 할때 맞장구를 쳐주면 좋아하는 편 자식이 인생의 낙인듯하다. 딸은 절대 시술 시키지 않을거라고 얘기하고 다닌다.,,
3,4,컷 헤드 2 시술에 반대하는 편이다. 이미 Cut Head로 인한 부작용을 겪고 있기 때문에 관련된 얘기를 하면 예민하게 반응한다.,,
3,5,살이 찌지 않는다고 걱정하고 있다. 청소부와 사장에게 헬스를 강요 당해서 피해다니는 듯 하다.,,
3,6,최근 취미로 음악을 배우고 있다. 애니메이션을 보고 배우기 시작한거라고 했다.,,
3,7,아무일도 없어보인다. 그저 평소보다 운동을 자주하기만 한다. 말 실수만 안 하면 아무 문제 없다.,,
4,1,사회에 관심이 있기 보단 해외 여행을 갈 궁리를 하고 있다. 주변에 국회의원 친구가 있어서 그런지는 몰라도 관심은 없으나 관련 지식이 빠삭하다.,,
4,2,그저 기분이 좋은지 혼자서 콧노래를 흥얼 거린다. 주식이 더 오르면 퇴직하려는 생각인것같다.,,
4,3,신문의 글을 보고 혹해서 딸을 설득하고 있다. 딸이 거부하는 듯이 말해서 걱정이라고 한다.,,
4,4,똑같이 생긴 정장을 하나 더 구매해서 행복해 보인다 한동안 너그러울 듯,,
4,5,최근 게임에 푹 빠져서 일에 더욱 흥미를 못 붙힌다고 말했다. 일을 떠넘기는 횟수가 늘어날테니 적절한 임기응변이 필요하다,,
4,6,사실 얼굴을 자르기 전엔 굉장히 잘생겼었다. 하지만 입사하기 위해 머리를 자랐다고 한다. 아직까지 컷헤드에 대한 인식이 나쁘지만은 않은것 같다. ,,
4,7,특이사항 없음,,
5,1,친구를 걱정하고 있다. 그래서인지 회사 운영에 집중을 못하고 있다. 간섭이 줄긴 했지만 늘 기운이 없다.,,
5,2,주식이 언제 떨어질지 모른다는 불안감 때문에 극도로 예민한 상태이다. 작은것 하나하나에 트집을 잡고 컷 헤드와 관련된 말을 하면 불 같이 화를 낸다.,,
5,3,우대권을 준다는 신문만 보고 딸의 머리를 자를 뻔 했다. 그런 경험을 겪고나서 신문에 반감을 가지고 있다.,,
